gpu,sm_pct,mem_pct,enc_pct,dec_pct,jpg_pct,ofa_pct,fb_mb,bar1_mb,ccpm_mb
0,5,0,0,0,0,0,192,5,0
0,0,0,0,0,0,0,1456,5,0
0,97,48,0,0,0,0,1910,5,0
0,98,41,0,0,0,0,1910,5,0
0,98,47,0,0,0,0,1910,5,0
0,97,41,0,0,0,0,1910,5,0
0,98,46,0,0,0,0,1910,5,0
0,96,40,0,0,0,0,1910,5,0
0,98,43,0,0,0,0,1910,5,0
0,100,42,0,0,0,0,1910,5,0
0,97,42,0,0,0,0,1910,5,0
0,100,45,0,0,0,0,1910,5,0
0,95,40,0,0,0,0,1910,5,0
0,100,50,0,0,0,0,1910,5,0
0,97,40,0,0,0,0,1910,5,0
0,97,47,0,0,0,0,1910,5,0
0,97,40,0,0,0,0,1910,5,0
0,98,43,0,0,0,0,1910,5,0
0,100,44,0,0,0,0,1910,5,0
0,97,40,0,0,0,0,1910,5,0
0,100,49,0,0,0,0,1910,5,0
0,96,40,0,0,0,0,1910,5,0
0,97,45,0,0,0,0,1910,5,0
0,100,42,0,0,0,0,1910,5,0
0,96,39,0,0,0,0,1910,5,0
0,100,50,0,0,0,0,1910,5,0
0,94,38,0,0,0,0,1910,5,0
0,97,41,0,0,0,0,1910,5,0
0,100,45,0,0,0,0,1910,5,0
0,96,39,0,0,0,0,1910,5,0
0,94,44,0,0,0,0,1910,5,0
0,100,44,0,0,0,0,1910,5,0
0,97,39,0,0,0,0,1910,5,0
0,98,45,0,0,0,0,1910,5,0
0,100,43,0,0,0,0,1910,5,0
0,93,37,0,0,0,0,1910,5,0
0,98,44,0,0,0,0,1910,5,0
0,99,43,0,0,0,0,1910,5,0
0,95,38,0,0,0,0,1910,5,0
0,95,41,0,0,0,0,1910,5,0
0,100,45,0,0,0,0,1910,5,0
0,98,39,0,0,0,0,1910,5,0
0,97,41,0,0,0,0,1910,5,0
0,100,45,0,0,0,0,1910,5,0
0,97,39,0,0,0,0,1910,5,0
0,97,41,0,0,0,0,1910,5,0
0,100,45,0,0,0,0,1910,5,0
0,97,39,0,0,0,0,1910,5,0
