# gpu     sm    mem    enc    dec    jpg    ofa     fb   bar1   ccpm 
# Idx      %      %      %      %      %      %     MB     MB     MB 
    0      1      0      0      0      0      0   1994      5      0 
    0     94     38      0      0      0      0   1994      5      0 
    0     95     43      0      0      0      0   1994      5      0 
    0    100     43      0      0      0      0   1994      5      0 
    0     95     37      0      0      0      0   1994      5      0 
    0     96     41      0      0      0      0   1994      5      0 
    0    100     48      0      0      0      0   1994      5      0 
    0    100     40      0      0      0      0   1994      5      0 
    0     96     38      0      0      0      0   1994      5      0 
    0     97     41      0      0      0      0   1994      5      0 
    0    100     48      0      0      0      0   1994      5      0 
    0    100     40      0      0      0      0   1994      5      0 
    0     97     38      0      0      0      0   1994      5      0 
    0     97     39      0      0      0      0   1994      5      0 
    0    100     48      0      0      0      0   1994      5      0 
    0    100     41      0      0      0      0   1994      5      0 
    0     97     38      0      0      0      0   1994      5      0 
    0     97     36      0      0      0      0   1994      5      0 
    0     95     41      0      0      0      0   1994      5      0 
    0    100     48      0      0      0      0   1994      5      0 
    0     99     43      0      0      0      0   1994      5      0 
    0     99     40      0      0      0      0   1994      5      0 
    0     96     36      0      0      0      0   1994      5      0 
    0     97     35      0      0      0      0   1994      5      0 
    0     97     38      0      0      0      0   1994      5      0 
    0     96     42      0      0      0      0   1994      5      0 
    0    100     47      0      0      0      0   1994      5      0 
    0    100     43      0      0      0      0   1994      5      0 
    0    100     41      0      0      0      0   1994      5      0 
    0     97     37      0      0      0      0   1994      5      0 
    0     97     37      0      0      0      0   1994      5      0 
    0     93     34      0      0      0      0   1994      5      0 
    0     96     36      0      0      0      0   1994      5      0 
    0     95     39      0      0      0      0   1994      5      0 
    0     94     42      0      0      0      0   1994      5      0 
    0     94     44      0      0      0      0   1994      5      0 
    0    100     46      0      0      0      0   1994      5      0 
    0    100     42      0      0      0      0   1994      5      0 
    0    100     40      0      0      0      0   1994      5      0 
    0     97     37      0      0      0      0   1994      5      0 
    0     97     36      0      0      0      0   1994      5      0 
    0     95     34      0      0      0      0   1994      5      0 
    0     97     38      0      0      0      0   1994      5      0 
    0     97     43      0      0      0      0   1994      5      0 
# gpu     sm    mem    enc    dec    jpg    ofa     fb   bar1   ccpm 
# Idx      %      %      %      %      %      %     MB     MB     MB 
    0     97     46      0      0      0      0   1994      5      0 
    0    100     41      0      0      0      0   1994      5      0 
    0     94     37      0      0      0      0   1994      5      0 
    0     94     36      0      0      0      0   1994      5      0 
    0     96     38      0      0      0      0   1994      5      0 
    0     97     44      0      0      0      0   1994      5      0 
    0    100     44      0      0      0      0   1994      5      0 
    0     97     36      0      0      0      0   1994      5      0 
    0     97     43      0      0      0      0   1994      5      0 
    0    100     44      0      0      0      0   1994      5      0 
    0     98     37      0      0      0      0   1994      5      0 
    0     97     37      0      0      0      0   1994      5      0 
    0     97     40      0      0      0      0   1994      5      0 
    0    100     47      0      0      0      0   1994      5      0 
    0    100     41      0      0      0      0   1994      5      0 
    0     94     37      0      0      0      0   1994      5      0 
    0     95     37      0      0      0      0   1994      5      0 
    0     96     45      0      0      0      0   1994      5      0 
    0    100     44      0      0      0      0   1994      5      0 
    0     97     38      0      0      0      0   1994      5      0 
