Epoch,Step Avg Time,Overall Step Time,# Calls,Epoch Time,Training Loss,Validation Loss,Validation Accuracy
1,4.313518923187256,2695.949326992035,625,36.16614365577698,4.022117586517334,3.5883249082383077,16.67
2,4.151102681732178,2594.439176082611,625,35.87679386138916,3.457969976425171,3.2181345505319583,22.26
3,4.151528675079346,2594.705421924591,625,35.913145542144775,3.127886500167847,2.936847199300292,27.28
4,4.151305850219726,2594.566156387329,625,35.87954831123352,2.8600871032714843,2.74606901672995,30.43
5,4.147391687774658,2592.1198048591614,625,35.82075500488281,2.661652491569519,2.599904485568879,33.63
6,4.1473916831970215,2592.1198019981384,625,35.83165955543518,2.491750567626953,2.4675118027219347,36.76
7,4.147170499420166,2591.9815621376038,625,35.840153217315674,2.3604077545166016,2.364247337268416,38.62
8,4.147060722351074,2591.9129514694214,625,35.82293200492859,2.225326440048218,2.313849303373106,39.81
9,4.146942754364014,2591.8392214775085,625,35.86263155937195,2.107303717803955,2.251443480230441,41.17
10,4.146582302856445,2591.6139392852783,625,35.86087679862976,1.9943406244277955,2.1584246264901132,43.36
11,4.147078751373291,2591.924219608307,625,35.863783836364746,1.8908869409561158,2.1091041564941406,44.44
12,4.14707875213623,2591.924220085144,625,35.878565073013306,1.7861649995803832,2.074424957773488,45.79
13,4.146467623138427,2591.5422644615173,625,35.856491804122925,1.6823787836074828,2.037738074162963,46.51
14,4.1469280128479005,2591.8300080299377,625,35.83695912361145,1.581536700153351,2.0157544483804397,47.22
15,4.146769078063965,2591.730673789978,625,35.839106798172,1.4939942090988159,1.981011644290511,48.11
16,4.175357531738281,2609.598457336426,625,36.19935154914856,1.3987952034950257,1.9670852680874478,49.35
17,4.147067270660401,2591.9170441627502,625,35.86644148826599,1.3109309980392456,1.9682754597086816,49.48
18,4.146995185852051,2591.8719911575317,625,35.84944128990173,1.2256262466430663,1.9912517404859993,49.42
19,4.147044331359863,2591.9027070999146,625,35.82338738441467,1.1436642753601074,1.959088332334142,50.08
20,4.147023037719727,2591.889398574829,625,35.861939668655396,1.062642159461975,2.0220498621084126,50.19
21,4.146701914978028,2591.688696861267,625,35.871092081069946,0.9927560065269471,2.009380823487689,51.09
22,4.147231118011475,2592.0194487571716,625,35.90110683441162,0.9068493076324463,2.032676343705244,50.7
23,4.147327786254883,2592.0798664093018,625,35.85431265830994,0.8356085603237152,2.0398225002228076,51.26
24,4.1467150199890135,2591.6968874931335,625,35.83050060272217,0.7765631180763245,2.099355303557815,50.67
25,4.146932924652099,2591.8330779075623,625,35.85149908065796,0.7011081230163574,2.1405150093090763,50.89
26,4.147299934387207,2592.0624589920044,625,35.834688901901245,0.6410321087360382,2.197275950650501,50.7
27,4.146996813964844,2591.8730087280273,625,35.82556748390198,0.5833079854249954,2.228181014395064,51.04
28,4.1471737747192385,2591.983609199524,625,35.82163429260254,0.5310596915245056,2.279826322178932,51.04
Total time:,1084.895736,,,,,,
Total Accuracy:,52.11,,,,,,
