Epoch,Step Avg Time,Overall Step Time,# Calls,Epoch Time,Training Loss,Validation Loss,Validation Accuracy
1,4.481065003967285,2800.665627479553,625,36.889421463012695,4.028719680786133,3.588263698444245,15.94
2,4.187083626556396,2616.927266597748,625,35.9795777797699,3.454026084136963,3.2100203857300387,22.64
3,4.186741199493408,2616.71324968338,625,35.990959882736206,3.1149788696289065,2.924327592181552,27.54
4,4.187242559051514,2617.026599407196,625,35.983938455581665,2.8600194816589357,2.73532664244342,30.9
5,4.184340912628174,2615.2130703926086,625,35.95034384727478,2.6673128475189207,2.6039775921280977,33.74
6,4.183020357513428,2614.3877234458923,625,35.92181086540222,2.5037370037078857,2.484176632705008,36.61
7,4.183002341461181,2614.3764634132385,625,35.9379677772522,2.3636176288604736,2.3763479989045746,38.62
8,4.1830613151550295,2614.4133219718933,625,35.92870831489563,2.2369297010421754,2.3021885498314147,40.27
9,4.1830236434936525,2614.3897771835327,625,35.912187576293945,2.1115000123977663,2.293079123375522,41.01
10,4.183331653594971,2614.5822834968567,625,35.93348526954651,2.0082606687545774,2.1862254393328526,42.48
11,4.183054763793946,2614.409227371216,625,35.95485496520996,1.9120114866256714,2.1307299053593045,43.71
12,4.1830629554748535,2614.4143471717834,625,35.91972327232361,1.8000458780288697,2.0845240787336023,45.23
13,4.183077703094482,2614.4235644340515,625,35.91415452957153,1.6979678730010985,2.0730398551673646,46.18
14,4.182874542999268,2614.2965893745422,625,35.93043065071106,1.602928069114685,2.0353955258229735,46.19
15,4.183380806732178,2614.613004207611,625,35.918335914611816,1.5058835552215577,2.004986019650842,47.48
16,4.183128506469727,2614.455316543579,625,36.103278160095215,1.414699823474884,2.0022662103555766,47.73
17,4.182689403533936,2614.1808772087097,625,35.942591428756714,1.3325896717071533,2.002031248845872,49.14
18,4.183289060974121,2614.5556631088257,625,35.947514295578,1.2436336210250853,1.999157199434414,49.38
19,4.183128491210938,2614.455307006836,625,35.95093750953674,1.1550149647712709,1.984887399491231,50.05
20,4.183187473297119,2614.4921708106995,625,35.96811103820801,1.0839950706481933,2.017991148742141,49.98
21,4.182738562011719,2614.211601257324,625,35.97550344467163,0.9985246417999267,2.0141203517367128,50.79
22,4.183316911315918,2614.5730695724487,625,35.9572114944458,0.916214822101593,2.0512080450726162,50.2
23,4.182754936218262,2614.2218351364136,625,35.96791481971741,0.8467743675231933,2.075945909615535,50.85
24,4.1829204162597655,2614.3252601623535,625,35.95471405982971,0.7780052983283997,2.10211071466944,50.63
25,4.182871273040772,2614.294545650482,625,35.96691870689392,0.7129250133991242,2.155927584429455,50.12
26,4.1829908660888675,2614.369291305542,625,35.95976662635803,0.6494990002155304,2.1888337666821327,50.61
27,4.182931889343262,2614.3324308395386,625,35.982144594192505,0.5913414987564087,2.22014942974042,50.76
28,4.183112110137939,2614.445068836212,625,35.95984673500061,0.5361038299560547,2.2666867652516456,50.83
Total time:,1088.065677,,,,,,
Total Accuracy:,51.46,,,,,,
