gpu,sm_pct,mem_pct,enc_pct,dec_pct,jpg_pct,ofa_pct,fb_mb,bar1_mb,ccpm_mb
0,4,0,0,0,0,0,1856,5,0
0,96,31,0,0,0,0,1936,5,0
0,97,40,0,0,0,0,1962,5,0
0,97,46,0,0,0,0,1962,5,0
0,100,49,0,0,0,0,1962,5,0
0,100,42,0,0,0,0,1962,5,0
0,100,38,0,0,0,0,1962,5,0
0,99,35,0,0,0,0,1962,5,0
0,100,33,0,0,0,0,1962,5,0
0,100,34,0,0,0,0,1962,5,0
0,99,34,0,0,0,0,1962,5,0
0,100,35,0,0,0,0,1962,5,0
0,100,33,0,0,0,0,1962,5,0
0,100,32,0,0,0,0,1962,5,0
0,100,32,0,0,0,0,1962,5,0
0,100,32,0,0,0,0,1962,5,0
0,100,33,0,0,0,0,1962,5,0
0,100,34,0,0,0,0,1962,5,0
0,100,37,0,0,0,0,1962,5,0
0,100,40,0,0,0,0,1962,5,0
0,100,44,0,0,0,0,1962,5,0
0,94,44,0,0,0,0,1962,5,0
0,95,40,0,0,0,0,1962,5,0
0,94,34,0,0,0,0,1962,5,0
0,97,30,0,0,0,0,1962,5,0
0,97,26,0,0,0,0,1962,5,0
0,96,23,0,0,0,0,1962,5,0
0,95,24,0,0,0,0,1962,5,0
0,96,25,0,0,0,0,1962,5,0
0,96,25,0,0,0,0,1962,5,0
0,97,26,0,0,0,0,1962,5,0
0,96,26,0,0,0,0,1962,5,0
0,96,25,0,0,0,0,1962,5,0
0,96,25,0,0,0,0,1962,5,0
0,96,27,0,0,0,0,1962,5,0
0,96,26,0,0,0,0,1962,5,0
0,98,27,0,0,0,0,1962,5,0
0,100,27,0,0,0,0,1962,5,0
0,97,25,0,0,0,0,1962,5,0
0,96,26,0,0,0,0,1962,5,0
0,96,26,0,0,0,0,1962,5,0
0,97,25,0,0,0,0,1962,5,0
0,97,25,0,0,0,0,1962,5,0
0,100,41,0,0,0,0,1962,5,0
0,100,37,0,0,0,0,1962,5,0
0,100,35,0,0,0,0,1962,5,0
0,97,47,0,0,0,0,1962,5,0
0,100,48,0,0,0,0,1962,5,0
0,100,42,0,0,0,0,1962,5,0
0,94,38,0,0,0,0,1962,5,0
0,93,36,0,0,0,0,1962,5,0
0,97,30,0,0,0,0,1962,5,0
0,97,39,0,0,0,0,1962,5,0
0,97,46,0,0,0,0,1962,5,0
0,100,48,0,0,0,0,1962,5,0
0,100,39,0,0,0,0,1962,5,0
0,100,33,0,0,0,0,1962,5,0
0,97,27,0,0,0,0,1962,5,0
0,97,27,0,0,0,0,1962,5,0
0,97,26,0,0,0,0,1962,5,0
0,97,34,0,0,0,0,1962,5,0
0,95,42,0,0,0,0,1962,5,0
0,96,46,0,0,0,0,1962,5,0
0,100,48,0,0,0,0,1962,5,0
0,100,40,0,0,0,0,1962,5,0
0,100,32,0,0,0,0,1962,5,0
0,97,28,0,0,0,0,1962,5,0
0,96,27,0,0,0,0,1962,5,0
0,97,28,0,0,0,0,1962,5,0
0,97,38,0,0,0,0,1962,5,0
0,97,46,0,0,0,0,1962,5,0
0,100,45,0,0,0,0,1962,5,0
0,100,37,0,0,0,0,1962,5,0
0,100,30,0,0,0,0,1962,5,0
0,95,27,0,0,0,0,1962,5,0
0,95,26,0,0,0,0,1962,5,0
0,95,30,0,0,0,0,1962,5,0
0,97,38,0,0,0,0,1962,5,0
0,97,44,0,0,0,0,1962,5,0
0,100,49,0,0,0,0,1962,5,0
0,100,41,0,0,0,0,1962,5,0
0,100,34,0,0,0,0,1962,5,0
0,96,28,0,0,0,0,1962,5,0
0,97,27,0,0,0,0,1962,5,0
0,97,26,0,0,0,0,1962,5,0
0,97,35,0,0,0,0,1962,5,0
0,97,43,0,0,0,0,1962,5,0
0,98,49,0,0,0,0,1962,5,0
0,100,44,0,0,0,0,1962,5,0
0,99,41,0,0,0,0,1962,5,0
0,99,38,0,0,0,0,1962,5,0
0,100,33,0,0,0,0,1962,5,0
0,100,27,0,0,0,0,1962,5,0
0,96,27,0,0,0,0,1962,5,0
0,97,27,0,0,0,0,1962,5,0
0,96,26,0,0,0,0,1962,5,0
0,97,31,0,0,0,0,1962,5,0
0,97,37,0,0,0,0,1962,5,0
0,97,43,0,0,0,0,1962,5,0
0,97,46,0,0,0,0,1962,5,0
0,100,49,0,0,0,0,1962,5,0
0,100,42,0,0,0,0,1962,5,0
0,100,39,0,0,0,0,1962,5,0
0,99,38,0,0,0,0,1962,5,0
0,100,35,0,0,0,0,1962,5,0
0,100,32,0,0,0,0,1962,5,0
0,99,28,0,0,0,0,1962,5,0
0,96,25,0,0,0,0,1962,5,0
0,97,26,0,0,0,0,1962,5,0
0,97,26,0,0,0,0,1962,5,0
0,97,26,0,0,0,0,1962,5,0
0,97,27,0,0,0,0,1962,5,0
0,97,32,0,0,0,0,1962,5,0
0,97,37,0,0,0,0,1962,5,0
0,96,39,0,0,0,0,1962,5,0
0,95,41,0,0,0,0,1962,5,0
0,94,44,0,0,0,0,1962,5,0
0,97,46,0,0,0,0,1962,5,0
0,100,49,0,0,0,0,1962,5,0
0,100,46,0,0,0,0,1962,5,0
0,100,40,0,0,0,0,1962,5,0
0,94,26,0,0,0,0,1962,5,0
0,96,26,0,0,0,0,1962,5,0
0,97,31,0,0,0,0,1962,5,0
0,97,36,0,0,0,0,1962,5,0
0,97,40,0,0,0,0,1962,5,0
0,97,44,0,0,0,0,1962,5,0
0,95,47,0,0,0,0,1962,5,0
0,95,24,0,0,0,0,1962,5,0
0,96,28,0,0,0,0,1962,5,0
0,93,33,0,0,0,0,1962,5,0
0,100,37,0,0,0,0,1962,5,0
0,100,32,0,0,0,0,1962,5,0
0,97,27,0,0,0,0,1962,5,0
0,97,27,0,0,0,0,1962,5,0
0,96,27,0,0,0,0,1962,5,0
0,97,26,0,0,0,0,1962,5,0
0,97,33,0,0,0,0,1962,5,0
0,97,39,0,0,0,0,1962,5,0
0,97,46,0,0,0,0,1962,5,0
0,100,48,0,0,0,0,1962,5,0
0,100,43,0,0,0,0,1962,5,0
0,100,38,0,0,0,0,1962,5,0
0,100,35,0,0,0,0,1962,5,0
0,100,31,0,0,0,0,1962,5,0
0,96,27,0,0,0,0,1962,5,0
0,96,26,0,0,0,0,1962,5,0
0,97,26,0,0,0,0,1962,5,0
0,97,33,0,0,0,0,1962,5,0
0,97,41,0,0,0,0,1962,5,0
0,97,46,0,0,0,0,1962,5,0
0,100,49,0,0,0,0,1962,5,0
0,100,41,0,0,0,0,1962,5,0
0,100,36,0,0,0,0,1962,5,0
0,100,31,0,0,0,0,1962,5,0
0,96,26,0,0,0,0,1962,5,0
0,96,27,0,0,0,0,1962,5,0
0,96,26,0,0,0,0,1962,5,0
0,97,26,0,0,0,0,1962,5,0
0,97,35,0,0,0,0,1962,5,0
0,97,41,0,0,0,0,1962,5,0
0,97,47,0,0,0,0,1962,5,0
0,100,46,0,0,0,0,1962,5,0
0,100,40,0,0,0,0,1962,5,0
0,100,34,0,0,0,0,1962,5,0
0,100,30,0,0,0,0,1962,5,0
0,97,26,0,0,0,0,1962,5,0
0,94,25,0,0,0,0,1962,5,0
0,96,25,0,0,0,0,1962,5,0
0,97,30,0,0,0,0,1962,5,0
0,96,34,0,0,0,0,1962,5,0
0,97,40,0,0,0,0,1962,5,0
0,96,46,0,0,0,0,1962,5,0
0,100,48,0,0,0,0,1962,5,0
0,100,44,0,0,0,0,1962,5,0
0,100,38,0,0,0,0,1962,5,0
0,100,34,0,0,0,0,1962,5,0
0,100,30,0,0,0,0,1962,5,0
0,96,25,0,0,0,0,1962,5,0
0,97,26,0,0,0,0,1962,5,0
0,97,27,0,0,0,0,1962,5,0
0,94,25,0,0,0,0,1962,5,0
0,95,27,0,0,0,0,1962,5,0
0,94,32,0,0,0,0,1962,5,0
0,97,39,0,0,0,0,1962,5,0
0,96,43,0,0,0,0,1962,5,0
0,97,47,0,0,0,0,1962,5,0
0,100,47,0,0,0,0,1962,5,0
0,100,41,0,0,0,0,1962,5,0
0,100,36,0,0,0,0,1962,5,0
0,100,33,0,0,0,0,1962,5,0
0,100,28,0,0,0,0,1962,5,0
0,97,27,0,0,0,0,1962,5,0
0,96,26,0,0,0,0,1962,5,0
0,93,24,0,0,0,0,1962,5,0
0,94,24,0,0,0,0,1962,5,0
0,95,24,0,0,0,0,1962,5,0
0,97,27,0,0,0,0,1962,5,0
0,96,35,0,0,0,0,1962,5,0
0,97,41,0,0,0,0,1962,5,0
0,96,45,0,0,0,0,1962,5,0
0,100,49,0,0,0,0,1962,5,0
0,100,44,0,0,0,0,1962,5,0
0,100,38,0,0,0,0,1962,5,0
0,100,33,0,0,0,0,1962,5,0
0,21,11,0,0,0,0,1962,5,0
0,95,28,0,0,0,0,1962,5,0
0,89,30,0,0,0,0,1962,5,0
0,84,30,0,0,0,0,1962,5,0
0,91,30,0,0,0,0,1962,5,0
0,87,31,0,0,0,0,1962,5,0
0,94,31,0,0,0,0,1962,5,0
0,95,31,0,0,0,0,1962,5,0
0,94,31,0,0,0,0,1962,5,0
0,95,31,0,0,0,0,1962,5,0
0,96,32,0,0,0,0,1962,5,0
0,0,0,0,0,0,0,1962,5,0
