Epoch,Step Avg Time,Overall Step Time,# Calls,Epoch Time,Training Loss,Validation Loss,Validation Accuracy
1,73.95657969970704,46222.862312316895,625,365.20616364479065,3.812821751022339,3.393822595572016,19.12
2,73.7512982421875,46094.56140136719,625,365.5407109260559,3.211494251251221,2.99084074482037,26.17
3,73.69452568359375,46059.078552246094,625,365.4067051410675,2.8448703315734862,2.7250792129783874,31.38
4,73.68644686279296,46054.029289245605,625,365.9006793498993,2.5787175973892213,2.5505632716379347,34.58
5,73.68611910400391,46053.82444000244,625,365.45846915245056,2.3668813482284548,2.4032783348848867,38.04
6,73.69137036132813,46057.10647583008,625,365.40291142463684,2.162992160987854,2.29453741896684,40.53
7,73.68609787597656,46053.81117248535,625,365.3928623199463,1.9940869565963746,2.2088258327192563,42.67
8,73.67742578125,46048.39111328125,625,365.337632894516,1.8138939262390137,2.1596941082340897,44.1
9,73.68499533691406,46053.12208557129,625,365.33230566978455,1.6417336835861207,2.120294630147849,45.42
10,73.69528620605469,46059.55387878418,625,365.2884078025818,1.482128768825531,2.0620242888760414,46.98
11,73.68949761962891,46055.93601226807,625,365.2740488052368,1.3237743300437927,2.0432188078096716,47.78
12,73.68082222900391,46050.51389312744,625,365.3180329799652,1.1582678728103637,2.0548185527704326,48.36
13,73.6929546508789,46058.09665679932,625,365.29671335220337,1.0068717326164245,2.0954520444201816,49.63
14,73.69485363769532,46059.28352355957,625,365.2935335636139,0.8620297096729278,2.1374892110277894,49.25
15,73.693372265625,46058.357666015625,625,365.2675766944885,0.7356019719600677,2.143458522049485,50.0
16,73.70650092773438,46066.563079833984,625,365.30405735969543,0.6041417837142944,2.2531678175470633,49.6
17,73.68314873046874,46051.96795654297,625,365.2853772640228,0.5065129102468491,2.3216228188982435,49.92
18,73.68386809082031,46052.417556762695,625,365.32401871681213,0.42701693289279935,2.399816080263466,50.24
19,73.68962698974609,46056.01686859131,625,365.28328371047974,0.3638289893627167,2.4792659328242017,49.77
20,73.68697449951172,46054.359062194824,625,365.3140780925751,0.30886079876422884,2.5339528056466656,49.75
21,73.68403527832031,46052.522048950195,625,365.3572175502777,0.26662910630702974,2.5961184190337065,50.38
22,73.70394649658203,46064.96656036377,625,365.35011076927185,0.2392699662566185,2.7416128649073803,49.32
23,73.71269731445312,46070.4358215332,625,365.33337473869324,0.20764866138100624,2.7177040842688007,50.3
24,73.71850377197265,46074.06485748291,625,365.3578534126282,0.1834670814037323,2.794422281775505,50.31
25,73.72705466308594,46079.40916442871,625,365.46977066993713,0.16600440538525582,2.831253723733744,50.4
26,73.69993422851563,46062.458892822266,625,365.3354184627533,0.1520552454918623,2.8924544001840484,50.49
27,73.70302088623046,46064.38805389404,625,365.3720374107361,0.14564477745443583,2.925744024051982,50.8
28,73.684700390625,46052.937744140625,625,365.1511535644531,0.12977006015777587,2.993477658861002,50.63
29,73.68110406494141,46050.69004058838,625,365.099662065506,0.1263174301236868,3.0463482961533175,49.69
30,73.68256544189452,46051.60340118408,625,365.15177392959595,0.11342543059140443,3.076556814703972,50.37
31,73.6834207397461,46052.13796234131,625,365.19721579551697,0.10410102024972438,3.108431478214871,51.07
32,73.60114376220703,46000.714851379395,625,364.5620355606079,0.1004996187388897,3.188935327681766,49.72
33,73.58153676757813,45988.46047973633,625,364.55262088775635,0.09353802490755915,3.132415593050088,50.62
34,73.58312635498046,45989.45397186279,625,364.5757794380188,0.0908335439875722,3.2081148297923385,50.35
35,73.58612943115234,45991.330894470215,625,364.45354294776917,0.08501201258376241,3.267610193817479,50.09
36,73.57927908935547,45987.04943084717,625,364.4361777305603,0.0823506313033402,3.274608706213107,49.95
Total time:,14099.927174,,,,,,
Total Accuracy:,51.47,,,,,,
