Epoch,Step Avg Time,Overall Step Time,# Calls,Epoch Time,Training Loss,Validation Loss,Validation Accuracy
1,10.211572137451173,6382.232585906982,625,39.83771538734436,4.023998573303222,3.5763008731186012,16.5
2,10.052825941467285,6283.016213417053,625,39.533897399902344,3.456686882019043,3.2173061902355995,22.65
3,10.04398349609375,6277.489685058594,625,39.58211636543274,3.131898320388794,2.974079136635847,26.33
4,10.035621075439453,6272.263172149658,625,39.545477628707886,2.871131625747681,2.741222985990488,30.63
5,10.036820388793945,6273.012742996216,625,39.56266140937805,2.6768293083190917,2.589483309703268,33.3
6,10.034896871948241,6271.810544967651,625,39.56880784034729,2.5116451555252075,2.493506496878946,35.86
7,10.037557678222656,6273.47354888916,625,39.56344199180603,2.3728889877319337,2.3831175231629875,38.23
8,10.035506385803222,6272.191491127014,625,39.53444719314575,2.2474095220565795,2.296103371936045,40.17
9,10.037172636413574,6273.232897758484,625,39.559814453125,2.120341612625122,2.2503958371034853,41.33
10,10.035144305419921,6271.965190887451,625,39.55442714691162,2.014155702018738,2.168661979353352,42.81
11,10.038145860290527,6273.84116268158,625,39.55336141586304,1.9014059965133667,2.1389313131380994,43.58
12,10.035588302612304,6272.24268913269,625,39.551496267318726,1.7988069372177125,2.0881661943569303,45.46
13,10.037282426452636,6273.301516532898,625,39.59514570236206,1.7010873685836791,2.046656261583802,46.73
14,10.035219638061523,6272.012273788452,625,39.58532738685608,1.6007675575256348,2.046194892020742,46.47
15,10.042667864990234,6276.6674156188965,625,39.93011689186096,1.516236440849304,1.9930053265990726,47.68
16,10.035134468078613,6271.959042549133,625,39.60538697242737,1.4204989303588866,1.9914150389896077,48.24
17,10.037239823913573,6273.274889945984,625,39.580339193344116,1.335941875076294,1.9932758436081515,48.42
18,10.03488706970215,6271.804418563843,625,39.5585081577301,1.2570015030860902,1.978881830622436,49.65
19,10.037420053100586,6273.387533187866,625,39.57780385017395,1.1665334673881531,2.0033203720287154,49.81
20,10.035468675231934,6272.1679220199585,625,39.5717236995697,1.0888675357818602,2.0050159768693767,49.99
21,10.037372532653809,6273.35783290863,625,39.58667778968811,1.0104351452827454,2.013846117220107,50.46
22,10.035008293151856,6271.88018321991,625,39.5875039100647,0.9342658333778381,2.056141415978693,50.79
23,10.03715626220703,6273.2226638793945,625,39.576887369155884,0.8576259262084961,2.082421354427459,50.44
24,10.035409718322754,6272.131073951721,625,39.56051421165466,0.7924881906032563,2.1107118273996246,50.48
25,10.037208688354491,6273.255430221558,625,39.56576108932495,0.7242157146930694,2.1450439995261514,50.58
26,10.035003388977051,6271.877118110657,625,39.5430793762207,0.6647094439983368,2.1722098566164636,50.92
27,10.037839477539062,6273.649673461914,625,39.56980848312378,0.6121151857852936,2.203481009052058,51.01
28,10.035915991210938,6272.447494506836,625,39.56910419464111,0.5581853449106217,2.2492934655232033,50.88
29,10.037338130187988,6273.336331367493,625,39.61899185180664,0.5078974788665771,2.2633597600232265,51.23
30,10.046059320068359,6278.787075042725,625,39.73473048210144,0.458335799074173,2.3081192993054724,51.2
31,10.03787388458252,6273.671177864075,625,39.55140042304993,0.42503681864738463,2.3491785761657034,51.59
32,10.036115879821777,6272.572424888611,625,39.58895421028137,0.38729058785438536,2.3972065911930835,51.58
33,10.037759201049806,6273.599500656128,625,39.58221101760864,0.3600890108823776,2.419926599332481,51.61
34,10.035165580749512,6271.978487968445,625,39.595867395401,0.33264653148651124,2.4976673574204655,51.19
35,10.038275294494628,6273.922059059143,625,39.54945254325867,0.30574210414886477,2.512481104036805,51.47
36,10.035734103393555,6272.333814620972,625,39.52747821807861,0.2831271263480186,2.5663653308418906,50.83
37,10.038245780944823,6273.903613090515,625,39.56350064277649,0.2582983729362488,2.6567510518298785,50.61
38,10.034839529418946,6271.774705886841,625,39.540499687194824,0.25080473210811616,2.6390247170332892,51.17
Total time:,1613.250446,,,,,,
Total Accuracy:,52.35,,,,,,
